Date,Open,High,Low,Close,Volume
2007-01-11,90.5595,90.5595,90.5595,90.5595,1077.27
2007-01-12,90.613,90.613,90.613,90.613,1315.65
2007-01-16,90.613,90.613,90.5948,90.5948,594.828
2007-01-17,90.649,90.649,90.649,90.649,9837.37
2007-01-18,90.649,90.649,90.613,90.64,27710.6
2007-01-19,90.64,90.6581,90.6219,90.6219,16076.2
2007-01-22,90.6646,90.6735,90.649,90.6581,3593.94
2007-01-23,90.6581,90.6735,90.6581,90.6646,2759.59
2007-01-24,90.71,90.7264,90.71,90.718,5154.8
2007-01-25,90.7264,90.7343,90.7011,90.718,37545.7
2007-01-26,90.7607,90.7607,90.71,90.71,113714
2007-01-29,90.7968,90.7968,90.7789,90.7789,23867.9
2007-01-30,90.7698,90.7968,90.7607,90.7789,6596.47
2007-01-31,90.7968,90.8234,90.7879,90.8234,2994.57
2007-02-01,90.5858,90.5858,90.5425,90.5514,13668.4
2007-02-02,90.5768,90.6037,90.5687,90.5768,42468.9
2007-02-05,90.6219,90.6219,90.5768,90.6037,10435.6
2007-02-06,90.613,90.613,90.5858,90.5948,12475.4
2007-02-07,90.6646,90.6646,90.6037,90.649,10196
2007-02-08,90.6581,90.6581,90.64,90.64,5388.64
2007-02-09,90.6735,90.6829,90.5948,90.6646,30463.3
2007-02-12,90.6646,90.6646,90.6581,90.6646,10196
2007-02-13,90.649,90.6735,90.649,90.6646,1793.56
2007-02-14,90.718,90.7343,90.718,90.7264,29509.8
2007-02-15,90.7343,90.7698,90.7011,90.7343,38635.4
2007-02-16,90.7607,90.7698,90.7264,90.7526,30224.9
2007-02-20,90.7435,90.7698,90.7435,90.7607,17989
2007-02-21,90.7607,90.8143,90.71,90.7968,89127.8
2007-02-22,90.7879,90.7968,90.7879,90.7968,3835.73
2007-02-23,90.7968,90.8505,90.7968,90.8415,10435.6
2007-02-26,90.8679,90.8679,90.8324,90.8505,321595
2007-02-27,90.8767,90.8767,90.8415,90.8679,19913.1
2007-02-28,90.8767,90.9567,90.8767,90.9294,355786
2007-03-01,90.71,90.718,90.649,90.7011,38988.5
2007-03-02,90.7435,90.7789,90.71,90.7526,29745.9
2007-03-05,90.7526,90.7526,90.718,90.7343,37425.3
